"var4","hormone","sex"
17.859039225112,"1","1"
20.8423434475719,"1","1"
19.3180990285089,"1","1"
20.0644505810577,"1","1"
17.6203158537085,"1","1"
14.5744628158872,"1","1"
14.7797775909009,"1","1"
19.2684813832402,"1","1"
22.1115220572266,"1","1"
18.3137728659111,"1","1"
24.505793067567,"1","1"
20.806947833715,"1","1"
24.2101528805784,"1","1"
14.673598770617,"1","1"
25.1528817052102,"1","1"
21.7969519834906,"1","1"
20.5809627486899,"0","1"
19.4334801020499,"0","1"
18.2222321662007,"0","1"
19.7681422153118,"0","1"
20.688260235574,"0","1"
15.3769087815076,"0","1"
15.4042068947607,"0","1"
19.2972502389236,"0","1"
19.3824914096952,"0","1"
14.8020955306289,"0","1"
13.1402592686194,"0","1"
15.0241064738375,"0","1"
20.2850310430084,"0","1"
17.4992601476807,"0","1"
15.2016199284435,"0","1"
17.6363497497399,"0","1"
15.0018701829686,"1","0"
17.4867918327575,"1","0"
16.6092878913106,"1","0"
21.2080505076197,"1","0"
14.6009880949405,"1","0"
17.9323455988156,"1","0"
22.3008753338763,"1","0"
20.1243202650964,"1","0"
18.2926910409408,"1","0"
12.4526790429793,"1","0"
14.6634663451753,"1","0"
17.3442000547474,"1","0"
18.2001277336093,"1","0"
15.982814884493,"1","0"
13.5397578470025,"1","0"
20.9357926797789,"1","0"
20.0151206037124,"0","0"
28.6195227825233,"0","0"
16.2033103461916,"0","0"
20.2146709305785,"0","0"
17.6150004096947,"0","0"
13.9478893473655,"0","0"
19.4344219808573,"0","0"
19.0048843970723,"0","0"
22.5302173413592,"0","0"
19.0552507051973,"0","0"
20.5250353723558,"0","0"
17.0541946210175,"0","0"
22.9515507831087,"0","0"
18.7993820244873,"0","0"
16.5431612681593,"0","0"
25.6830383288827,"0","0"
